,County,VAP,BVAP,EL12G_PR_D,EL12G_PR_R,OVAP,TOT_VOTES,factor,BVAP_pct,OVAP_pct,PRES12None,EL12G_PR_D_pct,EL12G_PR_R_pct,PRES12None_pct
53,37005,718,5,145,248,713,718,1.0,0.006963788300835654,0.9930362116991643,325,0.201949860724234,0.34540389972144847,0.45264623955431754
54,37005,1214,3,224,572,1211,1214,1.0,0.002471169686985173,0.9975288303130149,418,0.18451400329489293,0.471169686985173,0.3443163097199341
55,37005,3532,71,712,1125,3461,3532,1.0,0.020101925254813136,0.9798980747451869,1695,0.2015855039637599,0.31851642129105323,0.47989807474518686
56,37005,1567,10,215,713,1557,1567,1.0,0.006381620931716656,0.9936183790682833,639,0.1372048500319081,0.45500957243139756,0.4077855775366943
57,37005,325,4,44,137,321,325,1.0,0.012307692307692308,0.9876923076923076,144,0.13538461538461538,0.42153846153846153,0.4430769230769231
58,37005,862,4,111,301,858,862,1.0,0.004640371229698376,0.9953596287703016,450,0.12877030162412992,0.3491879350348028,0.5220417633410673
59,37007,1595,217,257,581,1378,1595,1.0,0.1360501567398119,0.8639498432601881,757,0.16112852664576802,0.36426332288401253,0.4746081504702194
60,37007,353,117,100,95,236,353,1.0,0.3314447592067989,0.6685552407932012,158,0.28328611898017,0.26912181303116145,0.4475920679886686
61,37007,2672,1373,1142,518,1299,2672,1.0,0.5138473053892215,0.4861526946107784,1012,0.4273952095808383,0.19386227544910178,0.3787425149700599
62,37007,2623,1725,1314,399,898,2623,1.0,0.6576439191765154,0.34235608082348457,910,0.5009531071292413,0.15211589782691576,0.34693099504384295
63,37007,4109,2391,842,305,1718,4109,1.0,0.5818934047213434,0.4181065952786566,2962,0.20491603796544172,0.07422730591384766,0.7208566561207106
64,37007,2887,1149,973,626,1738,2887,1.0,0.3979909941115345,0.6020090058884655,1288,0.3370280568063734,0.2168340838240388,0.44613785936958783
65,37007,1431,937,789,151,494,1431,1.0,0.6547868623340322,0.34521313766596784,491,0.5513626834381551,0.10552061495457722,0.34311670160726765
