,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,LG18P_BARN,LG18P_KOBE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,LG18PNone,LG18P_BARN_pct,LG18P_KOBE_pct,LG18PNone_pct
54,55003,572,Ashland,478,4,15,62,25,75,572,1.0,0.8356643356643356,0.006993006993006993,0.026223776223776224,0.13111888111888112,485,0.10839160839160839,0.043706293706293704,0.8479020979020979
55,55003,440,Ashland,399,1,7,40,17,33,440,1.0,0.9068181818181819,0.0022727272727272726,0.015909090909090907,0.075,383,0.09090909090909091,0.038636363636363635,0.8704545454545455
56,55003,58,Butternut,56,0,2,3,3,0,58,1.0,0.9655172413793104,0.0,0.034482758620689655,0.0,52,0.05172413793103448,0.05172413793103448,0.896551724137931
57,55003,228,Butternut,212,1,4,14,17,11,228,1.0,0.9298245614035088,0.0043859649122807015,0.017543859649122806,0.04824561403508772,197,0.06140350877192982,0.07456140350877193,0.8640350877192983
58,55003,292,Chippewa,278,1,5,15,12,8,292,1.0,0.952054794520548,0.003424657534246575,0.017123287671232876,0.0273972602739726,265,0.05136986301369863,0.0410958904109589,0.9075342465753424
59,55003,596,Gingles,522,0,7,64,54,67,596,1.0,0.8758389261744967,0.0,0.01174496644295302,0.11241610738255034,478,0.10738255033557047,0.09060402684563758,0.802013422818792
60,55003,80,Gordon,80,0,0,3,3,0,80,1.0,1.0,0.0,0.0,0.0,74,0.0375,0.0375,0.925
61,55003,164,Gordon,161,0,0,11,8,3,164,1.0,0.9817073170731707,0.0,0.0,0.018292682926829267,145,0.06707317073170732,0.04878048780487805,0.8841463414634146
62,55003,518,Jacobs,495,3,5,21,23,15,518,1.0,0.9555984555984556,0.005791505791505791,0.009652509652509652,0.02895752895752896,474,0.04054054054054054,0.0444015444015444,0.915057915057915
63,55003,370,La Pointe,335,14,6,66,30,15,370,1.0,0.9054054054054054,0.03783783783783784,0.016216216216216217,0.04054054054054054,274,0.1783783783783784,0.08108108108108109,0.7405405405405405
64,55003,120,Marengo,119,0,1,18,13,0,120,1.0,0.9916666666666667,0.0,0.008333333333333333,0.0,89,0.15,0.10833333333333334,0.7416666666666667
65,55003,145,Marengo,143,0,1,22,15,1,145,1.0,0.9862068965517241,0.0,0.006896551724137931,0.006896551724137931,108,0.15172413793103448,0.10344827586206896,0.7448275862068966
66,55003,555,Mellen,524,1,3,40,15,27,555,1.0,0.9441441441441442,0.0018018018018018018,0.005405405405405406,0.04864864864864865,500,0.07207207207207207,0.02702702702702703,0.9009009009009009
67,55003,304,Morse,293,1,3,27,16,7,304,1.0,0.9638157894736842,0.003289473684210526,0.009868421052631578,0.023026315789473683,261,0.08881578947368421,0.05263157894736842,0.8585526315789473
68,55003,62,Morse,62,0,0,5,3,0,62,1.0,1.0,0.0,0.0,0.0,54,0.08064516129032258,0.04838709677419355,0.8709677419354839
69,55003,38,Morse,36,0,1,2,1,1,38,1.0,0.9473684210526315,0.0,0.02631578947368421,0.02631578947368421,35,0.05263157894736842,0.02631578947368421,0.9210526315789473
70,55003,42,Peeksville,40,1,0,5,2,1,42,1.0,0.9523809523809523,0.023809523809523808,0.0,0.023809523809523808,35,0.11904761904761904,0.047619047619047616,0.8333333333333334
71,55003,76,Peeksville,73,1,1,6,3,1,76,1.0,0.9605263157894737,0.013157894736842105,0.013157894736842105,0.013157894736842105,67,0.07894736842105263,0.039473684210526314,0.881578947368421
72,55003,387,Sanborn,31,2,20,16,8,334,387,1.0,0.08010335917312661,0.00516795865633075,0.05167958656330749,0.8630490956072352,363,0.041343669250646,0.020671834625323,0.937984496124031
73,55003,594,Sanborn,121,2,9,23,12,462,594,1.0,0.2037037037037037,0.003367003367003367,0.015151515151515152,0.7777777777777778,559,0.03872053872053872,0.020202020202020204,0.9410774410774411
74,55003,109,Shanagolden,105,0,1,10,6,3,109,1.0,0.963302752293578,0.0,0.009174311926605505,0.027522935779816515,93,0.09174311926605505,0.05504587155963303,0.8532110091743119
75,55003,567,White River,522,2,2,26,23,41,567,1.0,0.9206349206349206,0.003527336860670194,0.003527336860670194,0.07231040564373897,518,0.04585537918871252,0.04056437389770723,0.9135802469135802
76,55003,69,White River,65,0,0,3,2,4,69,1.0,0.9420289855072463,0.0,0.0,0.057971014492753624,64,0.043478260869565216,0.028985507246376812,0.927536231884058
77,55005,545,Almena,496,3,22,11,10,24,545,1.0,0.9100917431192661,0.005504587155963303,0.04036697247706422,0.044036697247706424,524,0.02018348623853211,0.01834862385321101,0.9614678899082569
78,55005,474,Almena,452,0,6,21,14,16,474,1.0,0.9535864978902954,0.0,0.012658227848101266,0.03375527426160337,439,0.04430379746835443,0.029535864978902954,0.9261603375527426
79,55005,257,Almena,233,2,14,10,7,8,257,1.0,0.9066147859922179,0.007782101167315175,0.054474708171206226,0.0311284046692607,240,0.038910505836575876,0.027237354085603113,0.933852140077821
80,55005,516,Arland,485,0,5,23,15,26,516,1.0,0.939922480620155,0.0,0.009689922480620155,0.050387596899224806,478,0.044573643410852716,0.029069767441860465,0.9263565891472868
81,55005,844,Barron,682,113,16,21,13,33,844,1.0,0.8080568720379147,0.1338862559241706,0.018957345971563982,0.03909952606635071,810,0.024881516587677725,0.015402843601895734,0.9597156398104265
82,55005,482,Barron,392,48,14,12,7,28,482,1.0,0.8132780082987552,0.0995850622406639,0.029045643153526972,0.058091286307053944,463,0.024896265560165973,0.014522821576763486,0.9605809128630706
83,55005,197,Barron,178,3,6,6,4,10,197,1.0,0.9035532994923858,0.015228426395939087,0.030456852791878174,0.050761421319796954,187,0.030456852791878174,0.02030456852791878,0.949238578680203
84,55005,342,Barron,275,38,13,9,5,16,342,1.0,0.804093567251462,0.1111111111111111,0.038011695906432746,0.04678362573099415,328,0.02631578947368421,0.014619883040935672,0.9590643274853801
85,55005,648,Barron,419,176,21,19,12,32,648,1.0,0.6466049382716049,0.2716049382716049,0.032407407407407406,0.04938271604938271,617,0.029320987654320986,0.018518518518518517,0.9521604938271605
86,55005,66,Barron,59,2,2,2,1,3,66,1.0,0.8939393939393939,0.030303030303030304,0.030303030303030304,0.045454545454545456,63,0.030303030303030304,0.015151515151515152,0.9545454545454546
87,55005,307,Barron,240,54,2,7,4,11,307,1.0,0.7817589576547231,0.1758957654723127,0.006514657980456026,0.035830618892508145,296,0.02280130293159609,0.013029315960912053,0.9641693811074918
88,55005,303,Barron,276,4,11,7,5,12,303,1.0,0.9108910891089109,0.013201320132013201,0.036303630363036306,0.039603960396039604,291,0.0231023102310231,0.0165016501650165,0.9603960396039604
89,55005,325,Barron,290,2,15,8,5,18,325,1.0,0.8923076923076924,0.006153846153846154,0.046153846153846156,0.055384615384615386,312,0.024615384615384615,0.015384615384615385,0.96
90,55005,541,Bear Lake,512,0,8,34,14,21,541,1.0,0.9463955637707948,0.0,0.014787430683918669,0.038817005545286505,493,0.06284658040665435,0.025878003696857672,0.911275415896488
91,55005,912,Cameron,820,11,19,18,19,62,912,1.0,0.8991228070175439,0.01206140350877193,0.020833333333333332,0.06798245614035088,875,0.019736842105263157,0.020833333333333332,0.9594298245614035
92,55005,346,Cameron,317,1,8,7,7,20,346,1.0,0.9161849710982659,0.002890173410404624,0.023121387283236993,0.057803468208092484,332,0.02023121387283237,0.02023121387283237,0.9595375722543352
93,55005,140,Cameron,131,1,1,3,3,7,140,1.0,0.9357142857142857,0.007142857142857143,0.007142857142857143,0.05,134,0.02142857142857143,0.02142857142857143,0.9571428571428572
94,55005,961,Cedar Lake,923,2,5,61,22,31,961,1.0,0.9604578563995838,0.002081165452653486,0.005202913631633715,0.03225806451612903,878,0.06347554630593132,0.022892819979188347,0.9136316337148803
95,55005,468,Chetek,445,0,10,14,9,13,468,1.0,0.9508547008547008,0.0,0.021367521367521368,0.027777777777777776,445,0.029914529914529916,0.019230769230769232,0.9508547008547008
96,55005,438,Chetek,424,2,1,13,9,11,438,1.0,0.9680365296803652,0.0045662100456621,0.00228310502283105,0.02511415525114155,416,0.02968036529680365,0.02054794520547945,0.9497716894977168
97,55005,412,Chetek,376,0,12,12,8,24,412,1.0,0.912621359223301,0.0,0.02912621359223301,0.05825242718446602,392,0.02912621359223301,0.019417475728155338,0.9514563106796117
98,55005,415,Chetek,396,0,5,13,9,14,415,1.0,0.9542168674698795,0.0,0.012048192771084338,0.033734939759036145,393,0.03132530120481928,0.021686746987951807,0.946987951807229
99,55005,888,Chetek,864,0,5,39,20,19,888,1.0,0.972972972972973,0.0,0.00563063063063063,0.021396396396396396,829,0.04391891891891892,0.02252252252252252,0.9335585585585585
100,55005,569,Chetek,556,0,3,25,13,10,569,1.0,0.9771528998242531,0.0,0.005272407732864675,0.01757469244288225,531,0.043936731107205626,0.022847100175746926,0.9332161687170475
101,55005,683,Clinton,643,2,17,19,9,21,683,1.0,0.9414348462664714,0.0029282576866764276,0.024890190336749635,0.03074670571010249,655,0.027818448023426062,0.013177159590043924,0.95900439238653
102,55005,607,Crystal Lake,579,1,12,14,18,15,607,1.0,0.9538714991762768,0.0016474464579901153,0.019769357495881382,0.02471169686985173,575,0.023064250411861616,0.029654036243822075,0.9472817133443163
103,55005,462,Cumberland,392,7,33,23,13,30,462,1.0,0.8484848484848485,0.015151515151515152,0.07142857142857142,0.06493506493506493,426,0.049783549783549784,0.02813852813852814,0.922077922077922
104,55005,450,Cumberland,433,0,9,26,14,8,450,1.0,0.9622222222222222,0.0,0.02,0.017777777777777778,410,0.057777777777777775,0.03111111111111111,0.9111111111111111
105,55005,435,Cumberland,372,2,20,27,15,41,435,1.0,0.8551724137931035,0.004597701149425287,0.04597701149425287,0.09425287356321839,393,0.06206896551724138,0.034482758620689655,0.903448275862069
106,55005,406,Cumberland,364,3,22,25,14,17,406,1.0,0.896551724137931,0.007389162561576354,0.054187192118226604,0.04187192118226601,367,0.06157635467980296,0.034482758620689655,0.9039408866995073
107,55005,657,Cumberland,622,4,12,33,18,19,657,1.0,0.9467275494672754,0.0060882800608828,0.0182648401826484,0.0289193302891933,606,0.0502283105022831,0.0273972602739726,0.9223744292237442
108,55005,277,Dallas,249,3,5,7,7,20,277,1.0,0.8989169675090253,0.010830324909747292,0.018050541516245487,0.07220216606498195,263,0.02527075812274368,0.02527075812274368,0.9494584837545126
109,55005,453,Dallas,415,4,16,18,14,18,453,1.0,0.9161147902869757,0.008830022075055188,0.03532008830022075,0.039735099337748346,421,0.039735099337748346,0.03090507726269316,0.9293598233995585
110,55005,628,Dovre,596,0,7,25,13,25,628,1.0,0.9490445859872612,0.0,0.011146496815286623,0.03980891719745223,590,0.03980891719745223,0.020700636942675158,0.9394904458598726
111,55005,199,Doyle,190,2,2,4,5,5,199,1.0,0.9547738693467337,0.010050251256281407,0.010050251256281407,0.02512562814070352,190,0.020100502512562814,0.02512562814070352,0.9547738693467337
112,55005,196,Doyle,188,0,0,5,7,8,196,1.0,0.9591836734693877,0.0,0.0,0.04081632653061224,184,0.025510204081632654,0.03571428571428571,0.9387755102040817
113,55005,213,Haugen,201,1,5,11,4,6,213,1.0,0.9436619718309859,0.004694835680751174,0.023474178403755867,0.028169014084507043,198,0.051643192488262914,0.018779342723004695,0.9295774647887324
114,55005,153,Lakeland,144,0,0,6,4,9,153,1.0,0.9411764705882353,0.0,0.0,0.058823529411764705,143,0.0392156862745098,0.026143790849673203,0.934640522875817
115,55005,619,Lakeland,589,1,3,26,18,26,619,1.0,0.9515347334410339,0.0016155088852988692,0.004846526655896607,0.0420032310177706,575,0.0420032310177706,0.029079159935379646,0.9289176090468497
116,55005,447,Maple Grove,415,3,18,13,9,11,447,1.0,0.9284116331096197,0.006711409395973154,0.040268456375838924,0.024608501118568233,425,0.029082774049217,0.020134228187919462,0.9507829977628636
117,55005,264,Maple Grove,247,1,9,8,5,7,264,1.0,0.9356060606060606,0.003787878787878788,0.03409090909090909,0.026515151515151516,251,0.030303030303030304,0.01893939393939394,0.9507575757575758
118,55005,680,Maple Plain,565,1,7,39,28,107,680,1.0,0.8308823529411765,0.0014705882352941176,0.010294117647058823,0.15735294117647058,613,0.057352941176470586,0.041176470588235294,0.9014705882352941
119,55005,17,New Auburn,13,1,1,0,4,2,17,1.0,0.7647058823529411,0.058823529411764705,0.058823529411764705,0.11764705882352941,13,0.0,0.23529411764705882,0.7647058823529411
120,55005,1,New Auburn,1,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,1.0
121,55005,313,Oak Grove,296,4,2,13,8,11,313,1.0,0.9456869009584664,0.012779552715654952,0.006389776357827476,0.03514376996805112,292,0.04153354632587859,0.025559105431309903,0.9329073482428115
122,55005,413,Oak Grove,401,0,2,18,10,10,413,1.0,0.9709443099273608,0.0,0.004842615012106538,0.024213075060532687,385,0.043583535108958835,0.024213075060532687,0.9322033898305084
123,55005,382,Prairie Farm,353,4,7,12,6,18,382,1.0,0.9240837696335078,0.010471204188481676,0.01832460732984293,0.04712041884816754,364,0.031413612565445025,0.015706806282722512,0.9528795811518325
124,55005,238,Prairie Farm,229,0,2,11,10,7,238,1.0,0.9621848739495799,0.0,0.008403361344537815,0.029411764705882353,217,0.046218487394957986,0.04201680672268908,0.9117647058823529
125,55005,193,Prairie Farm,184,1,1,8,7,7,193,1.0,0.9533678756476683,0.0051813471502590676,0.0051813471502590676,0.03626943005181347,178,0.04145077720207254,0.03626943005181347,0.9222797927461139
126,55005,699,Prairie Lake,670,0,7,26,19,22,699,1.0,0.9585121602288984,0.0,0.010014306151645207,0.031473533619456366,654,0.03719599427753934,0.027181688125894134,0.9356223175965666
127,55005,608,Prairie Lake,585,0,6,24,18,17,608,1.0,0.962171052631579,0.0,0.009868421052631578,0.027960526315789474,566,0.039473684210526314,0.029605263157894735,0.930921052631579
128,55005,389,Rice Lake,329,2,24,17,10,34,389,1.0,0.8457583547557841,0.005141388174807198,0.061696658097686374,0.08740359897172237,362,0.043701799485861184,0.02570694087403599,0.9305912596401028
129,55005,611,Rice Lake,544,7,18,35,21,42,611,1.0,0.8903436988543372,0.011456628477905073,0.029459901800327332,0.06873977086743044,555,0.057283142389525366,0.03436988543371522,0.9083469721767594
130,55005,548,Rice Lake,503,4,26,25,15,15,548,1.0,0.9178832116788321,0.0072992700729927005,0.04744525547445255,0.02737226277372263,508,0.04562043795620438,0.02737226277372263,0.927007299270073
131,55005,534,Rice Lake,493,7,9,25,15,25,534,1.0,0.9232209737827716,0.013108614232209739,0.016853932584269662,0.04681647940074907,494,0.04681647940074907,0.028089887640449437,0.9250936329588015
132,55005,883,Rice Lake,843,0,11,31,18,29,883,1.0,0.9546998867497168,0.0,0.01245753114382786,0.03284258210645526,834,0.035107587768969425,0.020385050962627407,0.9445073612684032
133,55005,410,Rice Lake,394,0,8,18,11,8,410,1.0,0.9609756097560975,0.0,0.01951219512195122,0.01951219512195122,381,0.04390243902439024,0.026829268292682926,0.9292682926829269
134,55005,365,Rice Lake,343,2,8,17,10,12,365,1.0,0.9397260273972603,0.005479452054794521,0.021917808219178082,0.03287671232876712,338,0.04657534246575343,0.0273972602739726,0.9260273972602739
135,55005,468,Rice Lake,434,4,12,22,13,18,468,1.0,0.9273504273504274,0.008547008547008548,0.02564102564102564,0.038461538461538464,433,0.04700854700854701,0.027777777777777776,0.9252136752136753
136,55005,390,Rice Lake,346,6,14,15,9,24,390,1.0,0.8871794871794871,0.015384615384615385,0.035897435897435895,0.06153846153846154,366,0.038461538461538464,0.023076923076923078,0.9384615384615385
137,55005,467,Rice Lake,418,5,19,19,11,25,467,1.0,0.8950749464668094,0.010706638115631691,0.04068522483940043,0.05353319057815846,437,0.04068522483940043,0.023554603854389723,0.9357601713062098
138,55005,485,Rice Lake,457,2,11,24,14,15,485,1.0,0.9422680412371134,0.004123711340206186,0.02268041237113402,0.030927835051546393,447,0.049484536082474224,0.0288659793814433,0.9216494845360824
139,55005,1133,Rice Lake,1046,15,17,36,21,55,1133,1.0,0.9232127096204766,0.01323918799646955,0.01500441306266549,0.04854368932038835,1076,0.03177405119152692,0.018534863195057368,0.9496910856134158
140,55005,509,Rice Lake,421,7,32,18,10,49,509,1.0,0.8271119842829077,0.0137524557956778,0.06286836935166994,0.0962671905697446,481,0.03536345776031434,0.019646365422396856,0.9449901768172888
141,55005,656,Rice Lake,613,5,15,32,23,23,656,1.0,0.9344512195121951,0.007621951219512195,0.022865853658536585,0.0350609756097561,601,0.04878048780487805,0.0350609756097561,0.9161585365853658
142,55005,615,Rice Lake,589,1,10,30,21,15,615,1.0,0.9577235772357724,0.0016260162601626016,0.016260162601626018,0.024390243902439025,564,0.04878048780487805,0.03414634146341464,0.9170731707317074
