,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,TRES14D,TRES14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,TRE14None,TRES14D_pct,TRES14R_pct,TRE14None_pct
79,55005,231,Almena,223,1,4,52,60,3,231,1.0,0.9653679653679653,0.004329004329004329,0.017316017316017316,0.012987012987012988,119,0.22510822510822512,0.2597402597402597,0.5151515151515151
80,55005,555,Arland,537,0,9,101,105,9,555,1.0,0.9675675675675676,0.0,0.016216216216216217,0.016216216216216217,349,0.18198198198198198,0.1891891891891892,0.6288288288288288
81,55005,727,Barron,661,35,15,99,127,16,727,1.0,0.9092159559834938,0.048143053645116916,0.02063273727647868,0.02200825309491059,501,0.1361760660247593,0.1746905089408528,0.6891334250343879
82,55005,408,Barron,366,32,3,62,79,7,408,1.0,0.8970588235294118,0.0784313725490196,0.007352941176470588,0.01715686274509804,267,0.15196078431372548,0.19362745098039216,0.6544117647058824
83,55005,231,Barron,216,0,11,34,43,4,231,1.0,0.935064935064935,0.0,0.047619047619047616,0.017316017316017316,154,0.1471861471861472,0.18614718614718614,0.6666666666666666
84,55005,318,Barron,297,5,8,46,59,8,318,1.0,0.9339622641509434,0.015723270440251572,0.025157232704402517,0.025157232704402517,213,0.14465408805031446,0.18553459119496854,0.6698113207547169
85,55005,667,Barron,490,136,15,98,125,26,667,1.0,0.7346326836581709,0.20389805097451275,0.022488755622188907,0.038980509745127435,444,0.1469265367316342,0.1874062968515742,0.6656671664167916
86,55005,74,Barron,68,0,5,11,14,1,74,1.0,0.918918918918919,0.0,0.06756756756756757,0.013513513513513514,49,0.14864864864864866,0.1891891891891892,0.6621621621621622
87,55005,248,Barron,227,11,6,35,45,4,248,1.0,0.9153225806451613,0.04435483870967742,0.024193548387096774,0.016129032258064516,168,0.14112903225806453,0.1814516129032258,0.6774193548387096
88,55005,319,Barron,308,0,7,41,85,4,319,1.0,0.9655172413793104,0.0,0.0219435736677116,0.012539184952978056,193,0.12852664576802508,0.2664576802507837,0.6050156739811913
89,55005,352,Barron,334,3,13,44,90,2,352,1.0,0.9488636363636364,0.008522727272727272,0.036931818181818184,0.005681818181818182,218,0.125,0.2556818181818182,0.6193181818181818
90,55005,532,Bear Lake,524,5,2,101,139,1,532,1.0,0.9849624060150376,0.009398496240601503,0.0037593984962406013,0.0018796992481203006,292,0.18984962406015038,0.26127819548872183,0.5488721804511278
91,55005,832,Cameron,805,4,11,141,175,12,832,1.0,0.9675480769230769,0.004807692307692308,0.013221153846153846,0.014423076923076924,516,0.16947115384615385,0.21033653846153846,0.6201923076923077
92,55005,317,Cameron,303,1,9,52,65,4,317,1.0,0.9558359621451105,0.0031545741324921135,0.028391167192429023,0.012618296529968454,200,0.1640378548895899,0.20504731861198738,0.6309148264984227
93,55005,155,Cameron,150,0,1,24,30,4,155,1.0,0.967741935483871,0.0,0.0064516129032258064,0.025806451612903226,101,0.15483870967741936,0.1935483870967742,0.6516129032258065
94,55005,823,Cedar Lake,805,2,5,179,318,11,823,1.0,0.9781287970838396,0.002430133657351154,0.006075334143377886,0.013365735115431349,326,0.2174969623329283,0.3863912515188335,0.39611178614823817
95,55005,470,Chetek,460,0,9,68,92,1,470,1.0,0.9787234042553191,0.0,0.019148936170212766,0.002127659574468085,310,0.14468085106382977,0.19574468085106383,0.6595744680851063
96,55005,443,Chetek,434,2,5,66,90,2,443,1.0,0.9796839729119639,0.004514672686230248,0.011286681715575621,0.004514672686230248,287,0.1489841986455982,0.20316027088036118,0.6478555304740407
