,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
52,Wicomico,1613,Wicomico Precinct 05-005,1432,106,36,53,36,91,39,1613,1,0.8877867327960323,0.0657160570365778,0.022318660880347178,0.02417854928704278,1433,0.0328580285182889,0.022318660880347178,0.056416615003099815,0.8884066955982641
53,Wicomico,513,Wicomico Precinct 11-002,265,207,9,4,10,13,32,513,1,0.5165692007797271,0.40350877192982454,0.017543859649122806,0.06237816764132553,486,0.007797270955165692,0.01949317738791423,0.025341130604288498,0.9473684210526315
54,Wicomico,3288,Wicomico Precinct 11-001,2372,617,117,8,5,9,182,3288,1,0.7214111922141119,0.1876520681265207,0.035583941605839414,0.05535279805352798,3266,0.0024330900243309003,0.0015206812652068127,0.002737226277372263,0.9933090024330901
55,Wicomico,3390,Wicomico Precinct 05-006,2762,327,97,34,25,75,204,3390,1,0.8147492625368732,0.09646017699115045,0.028613569321533923,0.06017699115044248,3256,0.010029498525073746,0.007374631268436578,0.022123893805309734,0.96047197640118
61,Wicomico,1426,Wicomico Precinct 05-007,1279,77,21,23,13,48,49,1426,1,0.896914446002805,0.05399719495091164,0.014726507713884993,0.034361851332398316,1342,0.016129032258064516,0.0091164095371669,0.033660589060308554,0.94109396914446
62,Wicomico,662,Wicomico Precinct 06-001,619,23,9,12,2,21,11,662,1,0.9350453172205438,0.03474320241691843,0.013595166163141994,0.01661631419939577,627,0.01812688821752266,0.0030211480362537764,0.03172205438066465,0.947129909365559
63,Wicomico,2682,Wicomico Precinct 04-001,2441,116,48,6,0,9,77,2682,1,0.9101416853094706,0.04325130499627144,0.017897091722595078,0.02870991797166294,2667,0.0022371364653243847,0.0,0.003355704697986577,0.9944071588366891
64,Wicomico,1593,Wicomico Precinct 14-001,1453,74,32,6,0,11,34,1593,1,0.9121155053358443,0.04645323289391086,0.020087884494664157,0.021343377275580666,1576,0.003766478342749529,0.0,0.006905210295040804,0.9893283113622097
65,Worcester,1868,Worcester Precinct 04-003,1543,224,52,6,0,9,49,1868,1,0.826017130620985,0.11991434689507495,0.027837259100642397,0.026231263383297645,1853,0.0032119914346895075,0.0,0.004817987152034261,0.9919700214132763
66,Worcester,2502,Worcester Precinct 02-003,1154,1097,163,18,5,18,88,2502,1,0.4612310151878497,0.438449240607514,0.06514788169464429,0.035171862509992005,2461,0.007194244604316547,0.0019984012789768186,0.007194244604316547,0.9836131095123901
