,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
698,Anne Arundel,1801,Anne Arundel Precinct 06-010,1437,122,259,364,1801,1,0.7978900610771793,0.20210993892282064,1420,0.06774014436424208,0.14380899500277625,0.7884508606329816
699,Anne Arundel,2354,Anne Arundel Precinct 06-003,448,316,84,1906,2354,1,0.1903143585386576,0.8096856414613424,1954,0.13423959218351741,0.0356839422259983,0.8300764655904843
700,Anne Arundel,3339,Anne Arundel Precinct 06-022,2543,290,512,796,3339,1,0.7616052710392333,0.2383947289607667,2537,0.0868523510032944,0.1533393231506439,0.7598083258460617
701,Anne Arundel,2337,Anne Arundel Precinct 06-014,603,466,134,1734,2337,1,0.25802310654685495,0.7419768934531451,1737,0.19940094137783482,0.05733846812152332,0.7432605905006419
702,Anne Arundel,1784,Anne Arundel Precinct 06-004,869,127,63,915,1784,1,0.48710762331838564,0.5128923766816144,1594,0.07118834080717489,0.03531390134529148,0.8934977578475336
703,Anne Arundel,1134,Anne Arundel Precinct 06-013,492,242,150,642,1134,1,0.43386243386243384,0.5661375661375662,742,0.21340388007054673,0.13227513227513227,0.654320987654321
704,Anne Arundel,1646,Anne Arundel Precinct 06-002,1480,290,543,166,1646,1,0.8991494532199271,0.10085054678007291,813,0.17618469015795868,0.3298906439854192,0.4939246658566221
705,Anne Arundel,1709,Anne Arundel Precinct 06-009,1578,248,427,131,1709,1,0.9233469865418373,0.07665301345816267,1034,0.14511410181392628,0.24985371562317144,0.6050321825629023
706,Anne Arundel,1407,Anne Arundel Precinct 06-005,1154,143,366,253,1407,1,0.820184790334044,0.17981520966595593,898,0.10163468372423597,0.2601279317697228,0.6382373845060412
707,Anne Arundel,1924,Anne Arundel Precinct 06-006,397,209,100,1527,1924,1,0.20634095634095634,0.7936590436590436,1615,0.10862785862785863,0.05197505197505198,0.8393970893970893
708,Anne Arundel,1590,Anne Arundel Precinct 06-023,1409,281,408,181,1590,1,0.8861635220125786,0.11383647798742139,901,0.17672955974842766,0.25660377358490566,0.5666666666666667
709,Anne Arundel,2555,Anne Arundel Precinct 06-017,1841,272,328,714,2555,1,0.7205479452054795,0.27945205479452057,1955,0.10645792563600782,0.12837573385518591,0.7651663405088063
710,Anne Arundel,1846,Anne Arundel Precinct 06-007,1193,190,175,653,1846,1,0.6462621885157096,0.35373781148429034,1481,0.10292524377031419,0.09479956663055254,0.8022751895991332
711,Anne Arundel,2292,Anne Arundel Precinct 06-015,921,231,209,1371,2292,1,0.4018324607329843,0.5981675392670157,1852,0.10078534031413612,0.0911867364746946,0.8080279232111692
