,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
66,Worcester,2502,Worcester Precinct 02-003,1154,1097,163,12,8,3,88,2502,1,0.4612310151878497,0.438449240607514,0.06514788169464429,0.035171862509992005,2479,0.004796163069544364,0.0031974420463629096,0.001199040767386091,0.9908073541167066
67,Worcester,2723,Worcester Precinct 03-003,2418,159,73,26,19,9,73,2723,1,0.8879911861917004,0.05839147998531032,0.026808666911494677,0.026808666911494677,2669,0.009548292324641938,0.00697759823723834,0.0033051781123760557,0.9801689313257437
68,Worcester,1802,Worcester Precinct 06-002,1664,82,35,7,7,2,21,1802,1,0.9234184239733629,0.04550499445061043,0.019422863485016647,0.011653718091009988,1786,0.00388457269700333,0.00388457269700333,0.0011098779134295228,0.9911209766925638
69,Worcester,2430,Worcester Precinct 05-002,2271,66,55,61,69,30,38,2430,1,0.9345679012345679,0.027160493827160494,0.02263374485596708,0.015637860082304528,2270,0.025102880658436213,0.028395061728395062,0.012345679012345678,0.934156378600823
70,Worcester,4184,Worcester Precinct 05-001,3965,88,61,50,70,29,70,4184,1,0.9476577437858509,0.021032504780114723,0.014579349904397706,0.016730401529636712,4035,0.011950286806883365,0.016730401529636712,0.006931166347992352,0.9643881453154876
71,Worcester,1964,Worcester Precinct 03-001,1858,17,51,35,53,26,38,1964,1,0.9460285132382892,0.008655804480651732,0.025967413441955193,0.019348268839103868,1850,0.017820773930753563,0.0269857433808554,0.013238289205702648,0.9419551934826884
72,Worcester,2243,Worcester Precinct 06-001,2142,34,29,76,82,40,38,2243,1,0.9549710209540794,0.015158270173874276,0.012929112795363353,0.016941596076683014,2045,0.03388319215336603,0.036558181007579134,0.017833259028087384,0.9117253678109675
73,Worcester,1917,Worcester Precinct 06-003,1754,100,29,22,19,10,34,1917,1,0.9149713093375065,0.05216484089723526,0.015127803860198226,0.01773604590505999,1866,0.011476264997391758,0.0099113197704747,0.005216484089723527,0.97339593114241
74,Montgomery,3490,Montgomery Precinct 04-007,1550,258,1105,88,72,72,577,3490,1,0.44412607449856734,0.07392550143266476,0.3166189111747851,0.16532951289398282,3258,0.02521489971346705,0.020630372492836675,0.020630372492836675,0.9335243553008596
75,Montgomery,2962,Montgomery Precinct 04-006,1536,136,922,88,71,52,368,2962,1,0.5185685347738015,0.04591492234976367,0.3112761647535449,0.12424037812288993,2751,0.029709655638082377,0.02397029034436192,0.017555705604321403,0.9287643484132343
76,Montgomery,1587,Montgomery Precinct 04-027,360,206,510,10,11,2,511,1587,1,0.22684310018903592,0.12980466288594833,0.32136105860113423,0.3219911783238815,1564,0.00630119722747322,0.006931316950220542,0.001260239445494644,0.9855072463768116
77,Montgomery,1951,Montgomery Precinct 04-009,995,122,505,93,49,47,329,1951,1,0.5099948744233727,0.06253203485392107,0.25884161968221425,0.16863147104049206,1762,0.047667862634546386,0.025115325474115838,0.02409021014864172,0.9031266017426961
78,Montgomery,3199,Montgomery Precinct 13-051,2034,239,525,187,147,83,401,3199,1,0.6358236949046577,0.07471084713973117,0.16411378555798686,0.12535167239762426,2782,0.05845576742732104,0.045951859956236324,0.025945608002500783,0.8696467646139419
79,Montgomery,1806,Montgomery Precinct 04-034,1249,126,158,94,87,57,273,1806,1,0.6915836101882613,0.06976744186046512,0.08748615725359911,0.1511627906976744,1568,0.05204872646733112,0.04817275747508306,0.03156146179401993,0.8682170542635659
80,Montgomery,2832,Montgomery Precinct 13-043,911,192,1240,82,37,32,489,2832,1,0.321680790960452,0.06779661016949153,0.4378531073446328,0.17266949152542374,2681,0.028954802259887006,0.013064971751412429,0.011299435028248588,0.946680790960452
81,Montgomery,2301,Montgomery Precinct 13-045,911,211,756,76,52,36,423,2301,1,0.3959148196436332,0.09169926119078661,0.3285528031290743,0.18383311603650587,2137,0.03302911777488049,0.022598870056497175,0.01564537157757497,0.9287266405910474
82,Montgomery,4265,Montgomery Precinct 13-036,1040,440,1881,107,60,43,904,4265,1,0.24384525205158264,0.10316529894490035,0.441031652989449,0.211957796014068,4055,0.025087924970691677,0.01406799531066823,0.010082063305978897,0.9507620164126612
83,Montgomery,3162,Montgomery Precinct 13-037,1002,276,1409,84,53,20,475,3162,1,0.31688804554079697,0.0872865275142315,0.44560404807084125,0.15022137887413028,3005,0.026565464895635674,0.016761543327008223,0.006325110689437065,0.950347881087919
84,Montgomery,3854,Montgomery Precinct 13-035,962,457,1733,132,52,29,702,3854,1,0.24961079398028022,0.11857810067462377,0.4496626881162429,0.18214841722885314,3641,0.034250129735339904,0.013492475350285417,0.007524649714582252,0.9447327451997924
85,Montgomery,5497,Montgomery Precinct 13-064,833,2253,1847,148,45,32,564,5497,1,0.15153720211024194,0.40985992359468804,0.33600145533927595,0.10260141895579407,5272,0.02692377660542114,0.008186283427323995,0.005821357103874841,0.95906858286338
86,Montgomery,2249,Montgomery Precinct 13-052,1568,153,273,130,82,60,255,2249,1,0.6971987550022232,0.06803023566029347,0.12138728323699421,0.11338372610048911,1977,0.057803468208092484,0.03646064917741218,0.026678523788350377,0.879057358826145
87,Montgomery,2706,Montgomery Precinct 08-003,2131,125,127,138,150,76,323,2706,1,0.7875092387287509,0.046193643754619367,0.04693274205469328,0.11936437546193644,2342,0.050997782705099776,0.05543237250554324,0.028085735402808575,0.8654841093865484
88,Montgomery,2330,Montgomery Precinct 13-046,1386,209,414,101,66,50,321,2330,1,0.5948497854077254,0.08969957081545064,0.17768240343347638,0.13776824034334764,2113,0.043347639484978544,0.02832618025751073,0.02145922746781116,0.9068669527896995
89,Montgomery,1337,Montgomery Precinct 08-004,1020,77,72,45,57,22,168,1337,1,0.762902019446522,0.05759162303664921,0.05385190725504862,0.1256544502617801,1213,0.033657442034405384,0.04263275991024682,0.016454749439042633,0.9072550486163051
90,Montgomery,2775,Montgomery Precinct 08-008,1990,217,170,116,97,44,398,2775,1,0.7171171171171171,0.0781981981981982,0.06126126126126126,0.14342342342342343,2518,0.041801801801801805,0.03495495495495495,0.015855855855855857,0.9073873873873873
91,Montgomery,3472,Montgomery Precinct 08-009,2306,348,411,178,131,74,407,3472,1,0.6641705069124424,0.10023041474654378,0.11837557603686635,0.11722350230414746,3089,0.051267281105990783,0.03773041474654378,0.02131336405529954,0.8896889400921659
92,Montgomery,3315,Montgomery Precinct 08-001,2336,356,270,162,127,80,353,3315,1,0.7046757164404224,0.10739064856711915,0.08144796380090498,0.10648567119155354,2946,0.048868778280542986,0.038310708898944196,0.024132730015082957,0.8886877828054298
93,Montgomery,2576,Montgomery Precinct 08-012,1661,311,153,97,64,35,451,2576,1,0.6447981366459627,0.12072981366459627,0.0593944099378882,0.1750776397515528,2380,0.03765527950310559,0.024844720496894408,0.01358695652173913,0.9239130434782609
94,Montgomery,2565,Montgomery Precinct 08-005,2188,142,117,95,107,55,118,2565,1,0.8530214424951267,0.055360623781676416,0.0456140350877193,0.04600389863547758,2308,0.037037037037037035,0.041715399610136455,0.021442495126705652,0.8998050682261208
95,Montgomery,3510,Montgomery Precinct 01-002,2324,496,378,74,53,44,312,3510,1,0.6621082621082621,0.1413105413105413,0.1076923076923077,0.08888888888888889,3339,0.021082621082621083,0.0150997150997151,0.012535612535612535,0.9512820512820512
96,Montgomery,3657,Montgomery Precinct 12-003,2956,189,252,93,109,44,260,3657,1,0.8083128247197157,0.051681706316652996,0.06890894175553733,0.07109652720809406,3411,0.02543068088597211,0.02980585179108559,0.012031719989062073,0.9327317473338802
97,Montgomery,2213,Montgomery Precinct 12-001,1875,77,195,31,41,24,66,2213,1,0.8472661545413466,0.034794396746497966,0.08811568007230004,0.0298237686398554,2117,0.014008133755083597,0.01852688657930411,0.010845006778129237,0.956619972887483
98,Montgomery,2541,Montgomery Precinct 01-001,2052,172,149,50,61,40,168,2541,1,0.807556080283353,0.06768988587170405,0.05863833136560409,0.06611570247933884,2390,0.01967729240456513,0.024006296733569462,0.015741833923652106,0.9405745769382133
