,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
55,Wicomico,3390,Wicomico Precinct 05-006,2762,327,97,60,4,204,3390,1,0.8147492625368732,0.09646017699115045,0.028613569321533923,0.06017699115044248,3326,0.017699115044247787,0.0011799410029498525,0.9811209439528024
56,Anne Arundel,2236,Anne Arundel Precinct 07-025,1913,232,47,95,28,44,2236,1,0.8555456171735242,0.1037567084078712,0.02101967799642218,0.01967799642218247,2113,0.042486583184257604,0.012522361359570662,0.9449910554561717
57,Anne Arundel,1839,Anne Arundel Precinct 07-003,1501,264,33,108,43,41,1839,1,0.8162044589450789,0.14355628058727568,0.01794453507340946,0.022294725394236,1688,0.05872756933115824,0.023382272974442633,0.9178901576943991
58,Anne Arundel,2418,Anne Arundel Precinct 07-010,2221,82,65,79,6,50,2418,1,0.9185277088502894,0.03391232423490488,0.026881720430107527,0.0206782464846981,2333,0.032671629445823,0.0024813895781637717,0.9648469809760132
59,Anne Arundel,2785,Anne Arundel Precinct 07-019,2513,40,144,57,6,88,2785,1,0.9023339317773789,0.01436265709156194,0.05170556552962298,0.03159784560143627,2722,0.020466786355475764,0.0021543985637342907,0.9773788150807899
60,Anne Arundel,2923,Anne Arundel Precinct 07-006,2723,34,83,54,5,83,2923,1,0.9315771467670202,0.011631885049606569,0.028395484091686622,0.028395484091686622,2864,0.01847417037290455,0.0017105713308244953,0.9798152582962709
61,Wicomico,1426,Wicomico Precinct 05-007,1279,77,21,32,2,49,1426,1,0.896914446002805,0.05399719495091164,0.014726507713884993,0.034361851332398316,1392,0.02244039270687237,0.001402524544179523,0.9761570827489481
62,Wicomico,662,Wicomico Precinct 06-001,619,23,9,15,0,11,662,1,0.9350453172205438,0.03474320241691843,0.013595166163141994,0.01661631419939577,647,0.022658610271903322,0.0,0.9773413897280967
63,Wicomico,2682,Wicomico Precinct 04-001,2441,116,48,43,1,77,2682,1,0.9101416853094706,0.04325130499627144,0.017897091722595078,0.02870991797166294,2638,0.01603281133482476,0.0003728560775540641,0.9835943325876212
64,Wicomico,1593,Wicomico Precinct 14-001,1453,74,32,34,0,34,1593,1,0.9121155053358443,0.04645323289391086,0.020087884494664157,0.021343377275580666,1559,0.021343377275580666,0.0,0.9786566227244193
65,Worcester,1868,Worcester Precinct 04-003,1543,224,52,38,1,49,1868,1,0.826017130620985,0.11991434689507495,0.027837259100642397,0.026231263383297645,1829,0.020342612419700215,0.0005353319057815846,0.9791220556745182
66,Worcester,2502,Worcester Precinct 02-003,1154,1097,163,107,7,88,2502,1,0.4612310151878497,0.438449240607514,0.06514788169464429,0.035171862509992005,2388,0.04276578737010392,0.002797761790567546,0.9544364508393285
67,Worcester,2723,Worcester Precinct 03-003,2418,159,73,74,2,73,2723,1,0.8879911861917004,0.05839147998531032,0.026808666911494677,0.026808666911494677,2647,0.027175908923980904,0.0007344840249724568,0.9720896070510466
68,Worcester,1802,Worcester Precinct 06-002,1664,82,35,76,1,21,1802,1,0.9234184239733629,0.04550499445061043,0.019422863485016647,0.011653718091009988,1725,0.042175360710321866,0.0005549389567147614,0.9572697003329633
69,Worcester,2430,Worcester Precinct 05-002,2271,66,55,107,4,38,2430,1,0.9345679012345679,0.027160493827160494,0.02263374485596708,0.015637860082304528,2319,0.044032921810699586,0.0016460905349794238,0.9543209876543209
70,Worcester,4184,Worcester Precinct 05-001,3965,88,61,201,2,70,4184,1,0.9476577437858509,0.021032504780114723,0.014579349904397706,0.016730401529636712,3981,0.048040152963671125,0.0004780114722753346,0.9514818355640535
71,Worcester,1964,Worcester Precinct 03-001,1858,17,51,60,0,38,1964,1,0.9460285132382892,0.008655804480651732,0.025967413441955193,0.019348268839103868,1904,0.03054989816700611,0.0,0.9694501018329938
72,Worcester,2243,Worcester Precinct 06-001,2142,34,29,98,1,38,2243,1,0.9549710209540794,0.015158270173874276,0.012929112795363353,0.016941596076683014,2144,0.043691484618814086,0.00044583147570218456,0.9558626839054837
73,Worcester,1917,Worcester Precinct 06-003,1754,100,29,44,1,34,1917,1,0.9149713093375065,0.05216484089723526,0.015127803860198226,0.01773604590505999,1872,0.022952529994783515,0.0005216484089723526,0.9765258215962441
74,Montgomery,3490,Montgomery Precinct 04-007,1550,258,1105,119,5,577,3490,1,0.44412607449856734,0.07392550143266476,0.3166189111747851,0.16532951289398282,3366,0.034097421203438394,0.0014326647564469914,0.9644699140401146
75,Montgomery,2962,Montgomery Precinct 04-006,1536,136,922,111,7,368,2962,1,0.5185685347738015,0.04591492234976367,0.3112761647535449,0.12424037812288993,2844,0.037474679270763,0.002363268062120189,0.9601620526671168
76,Montgomery,1587,Montgomery Precinct 04-027,360,206,510,15,2,511,1587,1,0.22684310018903592,0.12980466288594833,0.32136105860113423,0.3219911783238815,1570,0.00945179584120983,0.001260239445494644,0.9892879647132955
77,Montgomery,1951,Montgomery Precinct 04-009,995,122,505,88,5,329,1951,1,0.5099948744233727,0.06253203485392107,0.25884161968221425,0.16863147104049206,1858,0.0451050743208611,0.0025627883136852894,0.9523321373654536
78,Montgomery,3199,Montgomery Precinct 13-051,2034,239,525,273,8,401,3199,1,0.6358236949046577,0.07471084713973117,0.16411378555798686,0.12535167239762426,2918,0.08533916849015317,0.0025007814942169426,0.9121600500156298
