,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
800,Anne Arundel,2202,Anne Arundel Precinct 01-004,1450,112,48,752,2202,1,0.6584922797456857,0.34150772025431425,2042,0.05086285195277021,0.021798365122615803,0.927338782924614
801,Anne Arundel,2201,Anne Arundel Precinct 01-014,1607,90,12,594,2201,1,0.7301226715129486,0.2698773284870513,2099,0.0408905043162199,0.005452067242162653,0.9536574284416175
802,Anne Arundel,4021,Anne Arundel Precinct 01-012,1909,117,22,2112,4021,1,0.4747575230042278,0.5252424769957722,3882,0.029097239492663518,0.005471275802039294,0.9654314847052972
803,Anne Arundel,2018,Anne Arundel Precinct 01-015,1685,92,10,333,2018,1,0.8349851337958375,0.16501486620416253,1916,0.04558969276511397,0.004955401387512388,0.9494549058473737
806,Anne Arundel,1443,Anne Arundel Precinct 01-013,1092,38,5,351,1443,1,0.7567567567567568,0.24324324324324326,1400,0.026334026334026334,0.003465003465003465,0.9702009702009702
879,Anne Arundel,3468,Anne Arundel Precinct 01-018,2157,143,65,1311,3468,1,0.6219723183391004,0.3780276816608997,3260,0.04123414071510957,0.018742791234140715,0.9400230680507498
880,Anne Arundel,1823,Anne Arundel Precinct 01-017,1402,51,7,421,1823,1,0.7690619857377948,0.23093801426220514,1765,0.027975863960504662,0.0038398244651673065,0.968184311574328
881,Anne Arundel,2523,Anne Arundel Precinct 01-016,1828,73,8,695,2523,1,0.724534284581847,0.275465715418153,2442,0.02893380895759017,0.0031708283789139914,0.9678953626634959
909,Anne Arundel,2629,Anne Arundel Precinct 07-002,2349,131,22,280,2629,1,0.893495625713199,0.10650437428680107,2476,0.0498288322556105,0.008368200836820083,0.9418029669075694
1328,Anne Arundel,1793,Anne Arundel Precinct 04-013,1507,49,8,286,1793,1,0.8404907975460123,0.15950920245398773,1736,0.027328499721137756,0.004461795872838818,0.9682097044060234
