Precinct,ANNISSA ESSAIBI GEORGE,RICHARD A SPAGNUOLO,ANDREA JOY CAMPBELL,KIM M JANEY,MICHELLE WU,JON SANTIAGO,ROBERT CAPPUCCI,JOHN F BARROS,Total Votes,Unresolved Write-In
"WARD 19, PRECINCT 13",46.0,1.0,60.0,74.0,138.0,2.0,2.0,7.0,330.0,0.0
"WARD 19, PRECINCT 2",136.0,1.0,215.0,93.0,277.0,2.0,7.0,27.0,759.0,1.0
"WARD 19, PRECINCT 3",25.0,1.0,145.0,55.0,245.0,0.0,2.0,18.0,491.0,0.0
"WARD 19, PRECINCT 4",35.0,1.0,205.0,87.0,319.0,0.0,0.0,8.0,656.0,1.0
"WARD 19, PRECINCT 5",43.0,0.0,165.0,69.0,277.0,2.0,0.0,8.0,564.0,0.0
"WARD 19, PRECINCT 6",52.0,1.0,256.0,75.0,380.0,1.0,0.0,15.0,780.0,0.0
"WARD 19, PRECINCT 7",45.0,0.0,192.0,93.0,315.0,0.0,2.0,14.0,661.0,0.0
"WARD 19, PRECINCT 8",33.0,0.0,152.0,36.0,188.0,1.0,2.0,8.0,420.0,0.0
"WARD 19, PRECINCT 9",17.0,0.0,124.0,40.0,191.0,0.0,1.0,6.0,379.0,0.0
"WARD 2, PRECINCT 1",226.0,3.0,109.0,57.0,236.0,0.0,16.0,19.0,667.0,1.0
"WARD 2, PRECINCT 2",163.0,3.0,114.0,89.0,281.0,1.0,24.0,23.0,699.0,1.0
"WARD 2, PRECINCT 3",134.0,0.0,135.0,32.0,187.0,1.0,14.0,18.0,521.0,0.0
"WARD 2, PRECINCT 4",138.0,0.0,62.0,43.0,158.0,1.0,9.0,11.0,422.0,0.0
"WARD 2, PRECINCT 5",204.0,0.0,81.0,23.0,193.0,2.0,11.0,10.0,525.0,1.0
"WARD 2, PRECINCT 6",287.0,1.0,118.0,38.0,208.0,1.0,22.0,12.0,688.0,1.0
"WARD 2, PRECINCT 7",213.0,1.0,74.0,46.0,183.0,0.0,17.0,15.0,551.0,2.0
"WARD 20, PRECINCT 1",168.0,0.0,123.0,52.0,271.0,1.0,7.0,11.0,633.0,0.0
"WARD 20, PRECINCT 10",409.0,0.0,125.0,57.0,249.0,1.0,9.0,8.0,859.0,1.0
"WARD 20, PRECINCT 11",170.0,0.0,69.0,20.0,170.0,3.0,8.0,13.0,453.0,0.0
"WARD 20, PRECINCT 12",264.0,0.0,101.0,37.0,155.0,2.0,8.0,15.0,583.0,1.0
