,COUNTYFP20,VAP,Precinct,WVAP,BVAP,HVAP,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,BMAY21PNone,BMAY21PAG_pct,BMAY21PAC_pct,BMAY21PKJ_pct,BMAY21PMW_pct,BMAY21PNone_pct
1200,025,835,"WARD 20, PRECINCT 11",692,18,38,170,69,20,170,87,835,1,0.8287425149700599,0.02155688622754491,0.045508982035928146,0.10419161676646707,406,0.20359281437125748,0.08263473053892216,0.023952095808383235,0.20359281437125748,0.48622754491017967
1201,025,2281,"WARD 18, PRECINCT 6",88,1679,355,35,132,366,94,159,2281,1,0.03857957036387549,0.7360806663743972,0.15563349408154317,0.06970626918018413,1654,0.015344147303814117,0.05786935554581324,0.16045594037702762,0.041209995615957916,0.7251205611573871
1202,025,1485,"WARD 14, PRECINCT 6",51,900,369,13,67,103,28,165,1485,1,0.03434343434343434,0.6060606060606061,0.24848484848484848,0.1111111111111111,1274,0.008754208754208754,0.04511784511784512,0.06936026936026936,0.018855218855218854,0.857912457912458
1225,025,2269,"WARD 20, PRECINCT 3",1191,375,364,236,51,69,183,339,2269,1,0.5249008373732922,0.16527104451300131,0.1604230938739533,0.1494050242397532,1730,0.10401057734684883,0.02247686205376818,0.030409872190392245,0.08065226972234464,0.7624504186866461
1226,025,2286,"WARD 20, PRECINCT 10",1528,215,240,409,125,57,249,303,2286,1,0.668416447944007,0.09405074365704287,0.10498687664041995,0.1325459317585302,1446,0.178915135608049,0.05468066491688539,0.024934383202099737,0.1089238845144357,0.6325459317585301
1227,025,1892,"WARD 18, PRECINCT 7",415,650,651,60,134,120,134,176,1892,1,0.21934460887949261,0.34355179704016914,0.3440803382663848,0.09302325581395349,1444,0.03171247357293869,0.0708245243128964,0.06342494714587738,0.0708245243128964,0.7632135306553911
1228,025,1478,"WARD 14, PRECINCT 5",21,1148,210,13,40,112,36,99,1478,1,0.014208389715832206,0.7767253044654939,0.14208389715832206,0.06698240866035182,1277,0.008795669824086604,0.02706359945872801,0.07577807848443843,0.02435723951285521,0.8640054127198917
1229,025,1789,"WARD 16, PRECINCT 9",1560,30,45,533,55,24,80,154,1789,1,0.8719955282280604,0.016769144773616546,0.02515371716042482,0.08608160983789827,1097,0.29793180547792064,0.030743432084963666,0.013415315818893237,0.044717719396310786,0.6131917272219117
1230,025,1827,"WARD 16, PRECINCT 10",1252,188,106,343,37,24,75,281,1827,1,0.6852764094143404,0.10290093048713739,0.058018609742747675,0.1538040503557745,1348,0.18773946360153257,0.020251778872468526,0.013136288998357963,0.041050903119868636,0.7378215654077723
1231,025,1913,"WARD 7, PRECINCT 10",300,435,380,22,43,72,43,798,1913,1,0.15682174594877157,0.22739153162571876,0.1986408782017773,0.41714584422373235,1733,0.01150026136957658,0.02247778358599059,0.03763721902770518,0.02247778358599059,0.905906952430737
1232,025,1158,"WARD 17, PRECINCT 12",142,726,141,39,85,141,33,149,1158,1,0.1226252158894646,0.6269430051813472,0.12176165803108809,0.12867012089810018,860,0.03367875647668394,0.07340241796200346,0.12176165803108809,0.02849740932642487,0.7426597582037997
1233,025,1581,"WARD 20, PRECINCT 9",984,151,301,167,85,41,264,145,1581,1,0.6223908918406073,0.09550917141049968,0.19038583175205567,0.09171410499683745,1024,0.105629348513599,0.053763440860215055,0.025932953826691967,0.16698292220113853,0.6476913345983555
1234,025,3713,"WARD 3, PRECINCT 1",3194,64,172,267,147,72,324,283,3713,1,0.8602208456773498,0.01723673579315917,0.04632372744411527,0.07621869108537571,2903,0.07190950713708591,0.03959062752491247,0.019391327767304067,0.0872609749528683,0.7818475626178293
1235,025,2279,"WARD 2, PRECINCT 1",1955,20,114,226,109,57,236,190,2279,1,0.8578323826239579,0.008775778850372971,0.050021939447125935,0.08336989907854322,1651,0.09916630100921457,0.04782799473453269,0.025010969723562967,0.10355419043440105,0.7244405440982887
1236,025,9246,"WARD 6, PRECINCT 1",6763,401,774,283,262,122,543,1308,9246,1,0.7314514384598746,0.043370105991780226,0.0837118754055808,0.14146658014276445,8036,0.030607830413151633,0.028336577979666884,0.013194895089768548,0.05872809863724854,0.8691325978801644
