,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
982,Baltimore City,2683,Baltimore City Precinct 26-024,242,135,124,16,4,71,2441,2683,1,0.09019754006708908,0.9098024599329109,2333,0.050316809541557955,0.04621692135669027,0.005963473723443906,0.0014908684308609765,0.026462914647782332,0.8695490122996645
983,Baltimore City,2299,Baltimore City Precinct 26-025,146,87,45,8,2,38,2153,2299,1,0.06350587211831231,0.9364941278816877,2119,0.03784254023488473,0.019573727707699,0.0034797738147020443,0.0008699434536755111,0.01652892561983471,0.921705089169204
984,Baltimore City,1812,Baltimore City Precinct 26-026,482,97,91,17,3,51,1330,1812,1,0.26600441501103755,0.7339955849889624,1553,0.05353200883002208,0.05022075055187638,0.009381898454746136,0.0016556291390728477,0.028145695364238412,0.8570640176600441
985,Baltimore City,2585,Baltimore City Precinct 27-005,1273,226,129,58,14,83,1312,2585,1,0.49245647969052225,0.5075435203094778,2075,0.08742746615087041,0.049903288201160544,0.02243713733075435,0.005415860735009671,0.03210831721470019,0.8027079303675049
986,Baltimore City,3355,Baltimore City Precinct 27-006,959,192,184,26,10,92,2396,3355,1,0.28584202682563337,0.7141579731743666,2851,0.05722801788375559,0.054843517138599106,0.007749627421758569,0.0029806259314456036,0.027421758569299553,0.8497764530551416
987,Baltimore City,780,Baltimore City Precinct 27-019,33,51,34,5,2,21,747,780,1,0.04230769230769231,0.9576923076923077,667,0.06538461538461539,0.04358974358974359,0.00641025641025641,0.002564102564102564,0.026923076923076925,0.8551282051282051
988,Baltimore City,2289,Baltimore City Precinct 27-015,400,221,103,27,7,81,1889,2289,1,0.17474879860200962,0.8252512013979904,1850,0.09654871122761031,0.04499781564001747,0.011795543905635648,0.0030581039755351682,0.035386631716906945,0.8082131935342944
992,Baltimore City,2647,Baltimore City Precinct 27-014,1453,257,124,58,12,94,1194,2647,1,0.5489233094068757,0.4510766905931243,2102,0.09709104646769928,0.04684548545523234,0.0219115980355119,0.004533434076312807,0.03551190026445032,0.7941065357007934
993,Baltimore City,3409,Baltimore City Precinct 27-013,915,164,86,43,15,73,2494,3409,1,0.26840715752420063,0.7315928424757994,3028,0.04810794954532121,0.02522733939571722,0.01261366969785861,0.004400117336462305,0.02141390437078322,0.8882370196538575
994,Baltimore City,1492,Baltimore City Precinct 27-009,843,140,66,34,10,58,649,1492,1,0.5650134048257373,0.43498659517426275,1184,0.0938337801608579,0.04423592493297587,0.022788203753351208,0.006702412868632708,0.0388739946380697,0.7935656836461126
995,Baltimore City,762,Baltimore City Precinct 27-012,550,52,22,15,3,11,212,762,1,0.7217847769028871,0.2782152230971129,659,0.06824146981627296,0.028871391076115485,0.01968503937007874,0.003937007874015748,0.014435695538057743,0.8648293963254593
1014,Baltimore City,751,Baltimore City Precinct 27-037,547,55,40,12,4,42,204,751,1,0.7283621837549934,0.27163781624500666,598,0.07323568575233022,0.05326231691078562,0.015978695073235686,0.005326231691078562,0.0559254327563249,0.796271637816245
1015,Baltimore City,1727,Baltimore City Precinct 27-038,993,144,46,30,15,81,734,1727,1,0.57498552403011,0.42501447596989,1411,0.08338158656629995,0.026635784597568036,0.017371163867979156,0.008685581933989578,0.046902142443543716,0.8170237405906196
1016,Baltimore City,1669,Baltimore City Precinct 27-042,1261,187,118,37,16,162,408,1669,1,0.7555422408627921,0.2444577591372079,1149,0.11204313960455363,0.07070101857399641,0.022168963451168363,0.009586578789694428,0.09706411024565609,0.6884361893349311
1017,Baltimore City,1155,Baltimore City Precinct 27-044,1034,193,81,34,30,104,121,1155,1,0.8952380952380953,0.10476190476190476,713,0.1670995670995671,0.07012987012987013,0.02943722943722944,0.025974025974025976,0.09004329004329005,0.6173160173160173
1018,Baltimore City,1487,Baltimore City Precinct 27-040,1289,160,123,48,23,127,198,1487,1,0.8668459986550101,0.13315400134498992,1006,0.10759919300605246,0.08271687962340282,0.03227975790181574,0.01546738399462004,0.08540685944855414,0.6765299260255548
1019,Baltimore City,742,Baltimore City Precinct 27-039,645,99,58,20,20,97,97,742,1,0.8692722371967655,0.1307277628032345,448,0.1334231805929919,0.07816711590296496,0.026954177897574125,0.026954177897574125,0.1307277628032345,0.6037735849056604
1020,Baltimore City,1929,Baltimore City Precinct 27-041,1446,207,105,39,36,123,483,1929,1,0.749611197511664,0.25038880248833595,1419,0.10730948678071539,0.05443234836702955,0.02021772939346812,0.01866251944012442,0.06376360808709176,0.7356143079315708
1036,Baltimore City,1338,Baltimore City Precinct 09-010,254,114,46,14,4,48,1084,1338,1,0.1898355754857997,0.8101644245142003,1112,0.08520179372197309,0.0343796711509716,0.01046337817638266,0.0029895366218236174,0.03587443946188341,0.8310911808669657
1037,Baltimore City,1402,Baltimore City Precinct 09-003,246,167,41,29,9,48,1156,1402,1,0.1754636233951498,0.8245363766048502,1108,0.11911554921540657,0.029243937232524966,0.020684736091298145,0.006419400855920114,0.034236804564907276,0.7902995720399429
1038,Baltimore City,1166,Baltimore City Precinct 09-002,133,86,34,13,4,31,1033,1166,1,0.11406518010291596,0.885934819897084,998,0.07375643224699828,0.029159519725557463,0.011149228130360206,0.003430531732418525,0.026586620926243566,0.855917667238422
1039,Baltimore City,1002,Baltimore City Precinct 09-009,76,75,31,8,4,27,926,1002,1,0.07584830339321358,0.9241516966067864,857,0.0748502994011976,0.03093812375249501,0.007984031936127744,0.003992015968063872,0.02694610778443114,0.8552894211576846
1040,Baltimore City,1958,Baltimore City Precinct 09-004,484,280,96,50,13,130,1474,1958,1,0.24719101123595505,0.7528089887640449,1389,0.14300306435137897,0.049029622063329927,0.02553626149131767,0.006639427987742594,0.06639427987742594,0.7093973442288048
1041,Baltimore City,1717,Baltimore City Precinct 09-005,367,181,75,22,11,69,1350,1717,1,0.21374490390215492,0.786255096097845,1359,0.10541642399534071,0.043680838672102505,0.0128130460104834,0.0064065230052417,0.0401863715783343,0.7914967967384974
1042,Baltimore City,782,Baltimore City Precinct 09-001,41,57,17,7,2,18,741,782,1,0.052429667519181586,0.9475703324808185,681,0.07289002557544758,0.021739130434782608,0.008951406649616368,0.0025575447570332483,0.023017902813299233,0.870843989769821
1043,Baltimore City,970,Baltimore City Precinct 27-036,32,61,35,8,2,27,938,970,1,0.032989690721649485,0.9670103092783505,837,0.06288659793814433,0.03608247422680412,0.008247422680412371,0.002061855670103093,0.027835051546391754,0.8628865979381444
1044,Baltimore City,3261,Baltimore City Precinct 27-035,98,174,83,15,5,68,3163,3261,1,0.03005213124808341,0.9699478687519166,2916,0.05335786568537258,0.025452315240723705,0.004599816007359705,0.0015332720024532351,0.020852499233364,0.8942042318307267
1045,Baltimore City,1481,Baltimore City Precinct 27-026,265,102,29,13,12,41,1216,1481,1,0.17893315327481432,0.8210668467251857,1284,0.0688723835246455,0.019581363943281565,0.008777852802160702,0.008102633355840648,0.027683997299122215,0.8669817690749494
1046,Baltimore City,1722,Baltimore City Precinct 27-027,33,151,72,14,4,53,1689,1722,1,0.01916376306620209,0.980836236933798,1428,0.08768873403019745,0.041811846689895474,0.008130081300813009,0.0023228803716608595,0.03077816492450639,0.8292682926829268
1047,Baltimore City,1372,Baltimore City Precinct 27-028,32,100,62,11,2,38,1340,1372,1,0.023323615160349854,0.9766763848396501,1159,0.0728862973760933,0.04518950437317784,0.008017492711370262,0.0014577259475218659,0.027696793002915453,0.8447521865889213
1048,Baltimore City,858,Baltimore City Precinct 27-029,10,59,39,8,2,31,848,858,1,0.011655011655011656,0.9883449883449883,719,0.06876456876456877,0.045454545454545456,0.009324009324009324,0.002331002331002331,0.03613053613053613,0.837995337995338
1049,Baltimore City,1643,Baltimore City Precinct 09-008,18,75,38,7,3,24,1625,1643,1,0.010955569080949483,0.9890444309190505,1496,0.04564820450395618,0.023128423615337797,0.00426049908703591,0.0018259281801582471,0.014607425441265977,0.9105295191722459
1050,Baltimore City,1933,Baltimore City Precinct 09-006,142,246,90,25,6,77,1791,1933,1,0.0734609415416451,0.9265390584583549,1489,0.1272633212622866,0.04655975168132437,0.012933264355923435,0.0031039834454216243,0.03983445421624418,0.7703052250387998
1051,Baltimore City,1819,Baltimore City Precinct 09-007,152,170,84,20,9,54,1667,1819,1,0.08356239692138538,0.9164376030786147,1482,0.09345794392523364,0.04617921935129192,0.010995052226498075,0.004947773501924134,0.029686641011544807,0.8147333699835074
1052,Baltimore City,1296,Baltimore City Precinct 27-025,35,137,53,9,3,44,1261,1296,1,0.02700617283950617,0.9729938271604939,1050,0.10570987654320987,0.04089506172839506,0.006944444444444444,0.0023148148148148147,0.033950617283950615,0.8101851851851852
1053,Baltimore City,1047,Baltimore City Precinct 27-024,138,41,24,4,1,14,909,1047,1,0.1318051575931232,0.8681948424068768,963,0.039159503342884434,0.022922636103151862,0.0038204393505253103,0.0009551098376313276,0.013371537726838587,0.9197707736389685
1054,Baltimore City,588,Baltimore City Precinct 27-023,30,77,38,5,2,30,558,588,1,0.05102040816326531,0.9489795918367347,436,0.13095238095238096,0.06462585034013606,0.008503401360544218,0.003401360544217687,0.05102040816326531,0.7414965986394558
1055,Baltimore City,1632,Baltimore City Precinct 27-034,121,126,61,18,2,44,1511,1632,1,0.0741421568627451,0.9258578431372549,1381,0.07720588235294118,0.037377450980392156,0.011029411764705883,0.0012254901960784314,0.02696078431372549,0.8462009803921569
