,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
499,Prince George's,3207,Prince George's Precinct 06-010,129,2843,141,1363,37,94,3207,1.0,0.040224508886810104,0.8864982850015591,0.04396632366697849,0.029310882444652322,1807,0.4250077954474587,0.01153726223885251,0.5634549423136888
500,Prince George's,2204,Prince George's Precinct 06-011,132,1916,89,1392,36,67,2204,1.0,0.05989110707803993,0.8693284936479129,0.04038112522686026,0.030399274047186932,776,0.631578947368421,0.016333938294010888,0.35208711433756806
501,Prince George's,3824,Prince George's Precinct 06-001,272,3214,248,1786,43,90,3824,1.0,0.07112970711297072,0.8404811715481172,0.06485355648535565,0.023535564853556484,1995,0.46705020920502094,0.011244769874476987,0.5217050209205021
502,Prince George's,4367,Prince George's Precinct 06-003,124,3870,251,1976,43,122,4367,1.0,0.028394779024501948,0.8861918937485688,0.0574765285092741,0.027936798717655142,2348,0.4524845431646439,0.00984657659720632,0.5376688802381497
503,Prince George's,2231,Prince George's Precinct 18-011,68,2008,94,923,25,61,2231,1.0,0.03047960555804572,0.9000448229493501,0.0421335723890632,0.02734199910354101,1283,0.4137158225011206,0.011205737337516808,0.5750784401613627
504,Prince George's,2252,Prince George's Precinct 18-004,81,2005,125,880,19,41,2252,1.0,0.03596802841918295,0.8903197158081705,0.05550621669626998,0.018206039076376555,1353,0.3907637655417407,0.008436944937833037,0.6007992895204263
505,Prince George's,3235,Prince George's Precinct 18-001,86,2932,151,1633,20,66,3235,1.0,0.026584234930448224,0.9063369397217929,0.04667697063369397,0.020401854714064915,1582,0.504791344667697,0.0061823802163833074,0.4890262751159196
506,Prince George's,1927,Prince George's Precinct 02-007,906,749,187,1093,216,85,1927,1.0,0.4701608718214842,0.3886870783601453,0.09704203425012974,0.04411001556824079,618,0.5672029060716139,0.11209133367929423,0.32070576024909186
507,Prince George's,1859,Prince George's Precinct 18-005,22,1622,171,722,20,44,1859,1.0,0.011834319526627219,0.8725121032813341,0.09198493813878429,0.023668639053254437,1117,0.38838084991931143,0.010758472296933835,0.6008606777837547
508,Prince George's,2460,Prince George's Precinct 18-003,23,2209,148,1000,10,80,2460,1.0,0.00934959349593496,0.8979674796747967,0.06016260162601626,0.032520325203252036,1450,0.4065040650406504,0.0040650406504065045,0.5894308943089431
509,Prince George's,158,Prince George's Precinct 18-012,5,136,17,54,3,0,158,1.0,0.03164556962025317,0.8607594936708861,0.10759493670886076,0.0,101,0.34177215189873417,0.0189873417721519,0.6392405063291139
510,Prince George's,3010,Prince George's Precinct 02-003,624,1960,300,1359,153,126,3010,1.0,0.20730897009966778,0.6511627906976745,0.09966777408637874,0.04186046511627907,1498,0.4514950166112957,0.05083056478405316,0.49767441860465117
511,Prince George's,1792,Prince George's Precinct 18-009,52,1585,118,1221,30,37,1792,1.0,0.029017857142857144,0.8844866071428571,0.06584821428571429,0.020647321428571428,541,0.6813616071428571,0.016741071428571428,0.30189732142857145
512,Prince George's,2682,Prince George's Precinct 06-019,56,2506,62,1187,27,58,2682,1.0,0.020879940343027592,0.9343773303504848,0.023117076808351976,0.02162565249813572,1468,0.4425801640566741,0.010067114093959731,0.5473527218493661
513,Prince George's,2589,Prince George's Precinct 18-007,40,2362,125,1410,28,62,2589,1.0,0.01544998068752414,0.9123213595983005,0.04828118964851294,0.02394747006566242,1151,0.544611819235226,0.010814986481266898,0.44457319428350717
